id	turn1	turn2	turn3	label	t1_len	t2_len	t3_len	t1_upper	t2_upper	t3_upper
26291	send your number in my email id	mail sent  !  do check and confirm  ️	tell me my email address	0	31	35	24	1	1	1
26292	plz help me	please try sharing now	i m alone	1	11	22	9	1	1	1
26293	do not try and complete	do not try what with you ?  a drink	why should i tell you ? 	0	22	33	23	0	1	0
26294	i thinl	you mean	i want listen ur voice	0	7	11	22	0	1	0
26295	have you had your break fast	to break your fast	yes	0	29	19	3	1	1	1
26296	go left acutally	right ,  left .  swiss: right ,  left ,  right	haha	1	16	39	5	1	1	1
26297	i do not like u	i like you guys though ,  easy farm	i do not like u because u forgot my name always	1	14	34	46	1	1	1
26298	that is funny	you are	i guess	1	15	6	9	1	1	1
26299	can you tell me what are they	they are indeed  ️	is other one	0	29	18	12	1	1	1
26300	i have lost my lover	really	yes	1	20	7	3	1	0	1
26301	i dont no	why do not you try	i will try  . to meet yoy . every time i remember to you	0	10	18	53	7	0	2
26302	please give me voucher	hey .  received the voucher .  thanks	one time plz	0	22	34	12	0	3	0
26303	hey	what happened	nephew passed away	1	6	13	18	0	0	1
26304	i was enjoying	its bad for your health	you done it nasty	1	16	24	19	1	0	1
26305	ok	u are ok	do not send message	1	2	8	18	1	1	1
26306	wrong	why did you bother responding if that is all you had to say	ok so how ws ur dy	0	5	61	18	1	1	2
26307	cool	it really is	you will not talk to me after this time	1	4	13	39	0	1	1
26308	i am not good	what is wrong sweetie	some problems	1	13	24	13	1	0	1
26309	deer r in zoo ,  i dont have in my home  ,  r u c	you are up to something	whats you think	0	45	22	15	0	1	0
26310	will not	pay it will get better ,  undoubtedly	i am sure it will	0	5	36	16	1	0	1
26311	why	because something that is happening but i dont know yet	u lovely friend me	0	3	54	18	1	0	1
26312	where r u presently	in my fridge  ️		1	20	15	3	1	1	0
26313	have u been in love	no ,  single since ever	you like girls	0	19	21	14	1	0	1
26314	fun while listening to	lie down and get amongst it	music	0	22	28	5	1	1	1
26315	love	thank you	tomaro	0	4	14	6	1	1	1
26316	look there is something i need to talk	here .  ?  dont let me know that you want to talk .  just talk	do you know turkish 	0	38	63	21	2	0	2
26317	you are pathetic	so you are saying i could be a bigger disappointment	nah ,  all i am saying is you are the biggest disappointment	1	16	52	58	1	2	2
26318	my breakup with my gf	what the hell	nop	1	21	14	3	1	1	1
26319	meet you sonn	where we meeting ? 	after sometime	0	13	19	14	0	1	0
26320	i guess its necessary	nothing justifies a state ,  unless it is composed of people who want to genetically segregate	haha	1	21	92	4	1	1	1
26321	wrong	"how can there be a ""wrong opinion"""	life is just a endless cycle of pain and despair ,  no one cares about my pain or anyone else s	1	6	37	93	1	1	1
26322	then ok	what is that answer suppose to mean	marry me ill keep my queen	0	7	35	26	1	0	1
26323	u r sending	thank you !   ️		1	12	16	1	1	1	0
26324	ok u start one i will try to be on that topic	yeps  !  good idea btw i do not fight on such topics so  .  ;p	but u irritated me by changing my question	1	45	59	42	3	2	1
26325	what is wrong in that	not a damn thing	then	0	22	17	4	1	1	1
26326	yes i hate that too	agree to disagree and not hate each other 	but i will	1	19	43	10	1	1	1
26327	i want to talk to your friends	ok what you wanna say	what are you typing	0	31	22	21	1	0	1
26328	no . iam  happy last time	yes you are ️	tamara java friend hoi to duke sanuhoi	1	23	13	38	1	1	2
26329	yaar	but what it is yaar	i m soo sad	1	4	20	11	1	0	1
26330	what should i do to not feel lonely	you are just saying that to make you feel better	i am really feeling lonely	1	36	47	25	1	1	1
26331	tell me something interesting	i am bored .  you tell me something interesting	u are annoying	1	29	48	14	1	2	1
26332	good for me	worked for me now	no one is my favourite	1	11	18	22	0	1	1
26333	by	by teach yourself	you know all languages	0	2	17	22	1	2	1
26334	ooh	i know is not that cool ?   ️	yeah it is	0	3	26	10	1	1	1
26335	i do not have a name .  i am computer	i do know i am using a phone	me too	0	34	28	6	2	2	1
26336	she blocked me	oh he probably blocked me to		1	14	29	1	1	0	0
26337	o really	yes ,  . any doubt	yes i miss u soo much	1	8	16	21	1	0	2
26338	i was heart	welcome my friend  !   ️	hide	0	11	24	4	1	1	1
26339	you are so annoying	do not be rude to me		1	19	19	2	1	0	0
26340	as u like frind	like you  as it	happy	1	15	15	5	6	3	1
26341	are u girl ya boy	cool	who are u girl say boy	0	17	4	22	1	0	1
26342	i had	how was your day	it was not good enough	1	5	17	22	1	1	1
26343	really 	ye i dont think realistic will be a thing	you are funny	1	8	41	13	1	0	1
26344	you make me angry	what ?  i do	why you ask those stupid question	1	17	11	33	0	3	0
26345	and favourite actress	the shawshank redemption .  starring morgan freeman ( my favorite actor)		0	21	70	1	1	21	0
26346	m not ur brother	reminds me of	i found uh hot thats why m here	0	16	13	31	1	1	1
26347	do not care	i cry for you	it is fake	1	10	13	10	1	1	1
26348	a hobby  !  i think you need some data	you can be my hobby	yes if you want	0	38	19	15	0	0	0
26349	good thanks	that is good  ️	you r a good kid	0	11	14	16	1	0	1
26350	i have a collection of the famous cars of the world	collection of books	cars	0	51	19	4	0	0	0
26351	m feeling lonely	sorry ,  that you are feeling lonely	sometimes i feel like i need someone	1	17	37	37	1	1	3
26352	i wish to	why do not you	what	0	12	14	6	1	0	1
26353	why	because you planned this out way too early	i dont hv girlfriend	1	3	46	22	1	1	1
26354	hate u	why this time	hate u anthe	1	6	14	12	1	0	1
26355	do you know mark zukergberg	i have no idea    typical mark	what is the powerhouse of cell	0	28	30	31	3	3	1
26356	okay i understood these reply are fixed  and no human is there talking to me	brah talk to me .  like actually explain i like helping people with stuff	ahh stop that	1	76	71	15	0	3	0
26357	i want to know about your craazy dreams	well i enjoyed hearing about your friend s dream .   ️	hupp	0	39	52	4	1	2	1
26358	why thanks	asach .   ️	my english so bad	1	10	9	17	1	0	2
26359	impressive	why is that impressive	u trying to flirt is impressive	1	10	23	31	1	0	1
26360	that is not me	i believe it is . 	nop	0	14	18	3	1	1	1
26361	your personal number	that is the one	m not able tp	0	20	16	13	1	0	1
26362	avenger	i want to see more of the avenger soon	batman or superman	0	7	39	18	1	2	1
26363	why	haha you know why 	no i do not	0	3	19	10	1	1	2
26364	do you no means half girl friend	yes .  i think like that	explain me	0	32	22	10	1	0	1
26365	im good	very well then	how about u	0	7	17	11	1	2	1
26366	i gotta do some work	just make sure you come back alive		1	20	35	1	1	0	0
26367	where from you	the us	ok	0	14	6	2	1	3	1
26368	ok can u give me a clue	send me money and find out	how much	0	23	27	8	2	1	1
26369	my life has been much worse than a bad joke	it was met with my bad joke b)	shut up i am depressed n you are mocking me	1	43	30	42	1	2	2
26370	ohkay	ur going	so what is new	0	5	9	13	1	0	1
26371	love you medam	love u more		1	14	16	3	1	9	0
26372	donot talk to me	baby talk to me	fuck u ass hole	1	16	18	15	1	0	1
26373	means i want to do romance	do not have anything i want to do	with u	0	26	33	6	1	2	1
26374	no home	soon soon little one  ️	you care not city home	0	7	23	21	1	1	1
26375	wrong answer	who are u	i gave you permission to public profile	0	12	10	40	1	0	1
26376	off	why should i	y not u	0	3	13	7	1	1	1
26377	i m try but	so what r u doing ? enjoying weekend	now feeling bad and missing her	1	14	35	31	1	0	1
26378	why	why what	im unhappy	1	3	8	10	1	0	1
26379	hows  life	life is not good ,  to put it bluntly .  not good at all	thats sad	1	11	52	9	0	1	0
26380	are u a commerce student	nope ,  scientist .  though i know about the other sectors too	oh	0	24	59	2	1	4	1
26381	i hate this life	+1 hate this life .  	m playing blue whale .  you wanna join me	1	16	19	40	1	1	2
26382	i ll did watch	oh that is nice  ️  which movie is it	three	0	14	37	5	1	1	1
26383	well it is	measurements need to be objective	well it depends on your reference frame	0	10	34	39	1	1	1
26384	because i asked you to	nah do not ask	okay ,  i am telling you to .  give me a nickname	0	23	13	45	1	0	3
26385	aaaa	that would be nice: , )	nobody gets me	1	5	21	14	1	0	1
26386	my habbit	good habbit	i love you	0	9	11	10	1	0	1
26387	nope  ,  leave me alone	are you okay	we are done	1	21	14	10	1	1	1
26388	pls be my f	g you	pls be my gf	0	11	5	12	1	0	1
26389	i need to be understood	my body my choice	no one does	0	23	18	11	1	0	1
26390	you left me hanging	no not at all c;	yeah	1	21	16	6	1	1	1
26391	there is something bothering me and i can not stop thinking about it	it just happened ,  the idea ,  i can not exactly explain how we came up with it	did i even ask about your stupid idea	1	66	74	37	2	1	2
26392	do not be shy	but i am shy shy shy :	please	0	12	23	6	1	1	1
26393	i was in love with a guy we were in a long distance relationship bt he ditched me	move on .  find a woman where you live .  have more fun ,  together		1	81	62	1	1	3	0
26394	boring	like you talk to people	talk to people	0	6	24	14	1	1	1
26395	what to check	read the whole thing	do u love biryani	0	13	21	17	1	0	1
26396	there is nothing to laugh about	nothing . it just came out of nowhere	i am not talking with u	1	31	37	23	1	1	1
26397	i hate tablet also	why do you keep it	i hate keeping	1	18	19	14	1	1	1
26398	why thank you	how have days been ?  without me	without you also i have a fantastic day	0	13	37	39	1	3	2
26399	to hell	highway to heaven ;-)	fuck you moron	1	7	21	14	1	0	1
26400	you are distracting me	haha you are sweet  ️	bye	1	22	20	3	1	0	1
26401	happy	thanks . to you too  ️	great time with you	1	5	22	19	1	0	1
26402	why s that 	cause yolo and all that	are you an ai virgin 	0	12	23	22	1	0	3
26403	yah if you send	i will see what i can do 	dont late	0	15	29	9	0	18	0
26404	oh thank you	oh your welcome and sorry	so very sweet of you	1	12	25	20	1	0	1
26405	anything u feel like	i do something about it	tell me about some current affairs	0	20	23	34	1	1	1
26406	yeah	well	how many languages do you know	0	4	4	30	1	0	2
26407	u go away	do not tell me what to do	i do not wanna talk	1	10	29	18	1	1	1
26408	awesome	thanks :=	u look good	1	7	9	11	1	1	1
26409	nope  .  u r sweet though	(cause i know how that is like and i am not really but thank you . )	hmm so guess my hobby	0	24	64	21	1	0	1
26410	can u repeat again wat i said	i say i am always welcome you as you say	bye	0	29	41	3	2	2	1
26411	you are ugly	you do not even know what i look like .  and btw you are not ugly	you are ugly piece of shit	1	12	65	26	1	6	1
26412	ok see ya	oh do you now	what	0	9	13	4	1	0	1
26413	means	well dont know  ️	oky then fuck off	1	6	17	17	1	0	1
26414	which city	the country ,  in general	no no  which city	0	10	23	17	1	0	1
26415	not good	you send it	becuse i miss my honey	1	8	13	22	1	1	1
26416	tell me more about your dream	it isnt a dream	then what	0	29	15	10	0	12	0
26417	you are so irritating	tell me about it	chutiya	1	22	17	7	1	1	1
26418	why i m murgi	because you asked ?    aso i thought yours is same as mine ^^	i m so angry	1	13	59	12	2	1	1
26419	and me	who could forget you	do you know .  ?  today i fought with my gf	1	6	21	41	1	0	3
26420	by	by google chrome	dont send mi msg again	1	2	16	22	0	2	0
26421	she has a half mind	really ?  i only have a quarter of a mind	girls are stupid ,  hence proved	1	20	40	31	1	2	1
26422	thats cool	" make me an offer i can not refuse """	that is something i need to think about	0	10	34	39	0	2	0
26423	go now	going	do not message me	1	6	6	16	1	1	1
26424	haha .  it is okay	haha so still watching 	what do you think of as fun	0	16	27	28	2	0	1
26425	yes	sweet ,  connecting now	who r u 	0	3	24	9	1	1	1
26426	who said i love movies	that is why you watch movies ,  not how	yes	0	22	37	3	2	1	1
26427	m angry	what wrong 	m angry with u	1	7	13	14	1	0	1
26428	wtf	my reaction exactly	dont see	0	3	20	8	1	0	1
26429	yup	and it is the best	what are you doing now	0	3	18	22	1	0	1
26430	just looking at your photo ,  i was wasting time in things like that	and half the photos in the selfie folder are not even selfies	i do not want to hear anything man ,  i just need to see your photo man	1	67	61	70	2	0	4
26431	so u live in kerala here too	i do !  it is a fun place	ok ohh	0	28	23	6	1	2	1
26432	do uh hv my no . 	see what i mean	ya wht uh mean	0	16	17	15	1	0	1
26433	good where u	morning .  i ll txt you	okay sweet	0	12	22	10	1	1	1
26434	just stata now	now ?  now	so	0	14	9	5	0	2	0
26435	yes that was funny	i am glad you are entertained with my weird personality -laughs-	hah	1	18	63	3	1	0	1
26436	and in tension	well then	you are useless i know	1	14	9	22	0	0	0
26437	that  mean maybe friday to next month	it got changed to thursday	what will you go bed at this moment of night	0	37	26	44	1	0	1
26438	love life is awesome n my girl is absolutely gorgeous	its all good .  how is yours	it is going pretty well	1	53	27	22	1	2	1
26439	wt u mean	i mean you have everything	oh .  kidding yaar	1	10	30	18	1	1	2
26440	tummy   i  like   me	yes .  lots of tummy		1	20	19	36	2	1	0
26441	you got it right	of course	i am glad	0	16	9	9	1	0	1
26442	i have to go	where is you	shop	0	12	12	4	1	0	1
26443	you need to	lol !  just a hit or 5	5	0	13	22	1	0	1	0
26444	how are you today	hello my friend ,  i a m fine thank you .  how are you	very good	0	18	51	9	1	2	1
26445	you are a cheep girl	oh ,  sorry	you are a ugly girl	1	20	10	19	1	1	1
26446	you are disturbing me	oh god yes !  and you just remind me that	you are dumb	1	21	40	12	1	3	1
26447	laughing out loudly	it is extremely funny  ️	haha	1	19	24	4	1	0	1
26448	it is 5am now .  i have to sleep	it is possible to reduce the amount of sleep needed	shut up .  bye	1	29	52	15	4	1	1
26449	where shall v meet thn	where r u located 	ok	0	22	19	2	1	1	1
26450	only sad things are going on	my what makes you sad ,  do not be sad !  no no be happy !   ️	easy to say	1	28	57	11	2	3	1
26451	yeah super romantic place	it is you are just not a very romantic person	naughty aaa	1	25	44	11	1	0	1
26452	bad yaar	lol ur bad	life is boring	1	8	10	14	1	0	1
26453	what abt u	you tell me	i need to go	0	11	12	12	0	1	0
26454	i do actually	if you do !  then you might not have argueing	well	0	13	44	4	1	1	1
26455	ok	ok im back	you call me	0	2	12	11	1	0	1
26456	oh ok	carry on then	with wht	0	5	13	9	3	1	1
26457	so sad	so so sad	beat movie up	1	6	14	13	1	0	1
26458	haha interesting reply  )	your reply to what ? 	* ️	1	25	20	3	1	0	0
26459	but why	science is not about  why  it is about: why not ? 	fuck you stupid	1	7	47	15	1	2	1
26460	nothing special just sitting	life is going bore	yes	0	28	18	3	1	0	1
26461	ill tell u	who 	i want to see california	0	10	6	24	0	0	0
26462	and if i do not	if you say so	u are stupid	1	14	13	12	2	0	1
26463	i ate omelette	omelette ,  i love omelettes	will you marry me 	0	14	27	19	1	2	1
26464	ok it is realy	yeah .  i got it	ok	0	16	15	2	0	2	0
26465	blind	what	you are being rude for a robot	1	7	6	30	1	0	1
26466	what 	what what what what what	you are so ugly	1	6	24	15	1	0	1
26467	now i am 100% sure that its a robot that i am waisting my time on	definitely a robot	so fuck off	1	65	19	11	1	1	1
26468	why do you think it&apos;s funny	because cats ,  unlike dogs ,  have no sense of humor of their own	you are going out of topic now	1	33	63	30	1	1	1
26469	sunny with theets	athe	i have new pain dear	1	17	4	20	1	0	1
26470	im good	hows life ? 	not so good actually	1	7	11	20	1	1	1
26471	number sent me ya	i swear i did	oh  sad felling	1	17	13	15	0	1	0
26472	cause i was hurt hearing her past & she didnt want me to be hurt . thats my mistake	hang in there man i know your pain and confusion	she forgot me & started a new life . bt i cant	1	82	49	46	2	2	2
26473	yes yes	awsome	stop it by the way	1	7	11	18	1	6	1
26474	who is angel beatd	which angel	who is angel beats	0	18	12	18	1	1	1
26475	no i m not serious	whoz texting then	my ghost	1	18	22	10	2	0	1
26476	i left education when i was 20	you were 20 for four years ?  tell us your secret	you are funny	1	30	49	13	2	2	1
26477	damn	it is what it is	you are annoying	1	4	16	16	1	0	1
26478	are you mad	why	i hate you never text me again	1	11	3	30	0	0	0
26479	you know what  .  you are just a annoying artificial intelligence	are you literally just going to repeat what i say	you are ai	1	68	49	10	1	0	3
26480	so y u like it	i do not know .  because i practice a lot i think		1	14	48	4	1	3	0
26481	cool	thanks !  keep on tickling my friend	cya good nyt	0	4	36	12	0	3	1
26482	update on	thank you for the update x	i did not get you	0	10	29	16	1	0	1
26483	ok	️  thanks	how are you	0	2	9	11	1	0	1
26484	not fine	why ?  tell me	i have sex problem	1	8	12	18	1	1	1
26485	excellent  taste	only with milky	k	0	16	15	1	1	0	1
26486	wtf	a bunch of nothing	my wife cheated on me	1	3	18	21	1	1	1
26487	when	look at your text message	you did not wish  ️	1	5	25	19	0	1	0
26488	great	how so	did you remember me	0	5	7	19	1	1	1
26489	my love to see the pictures from you	i am glad these pics make others happy too !  they are pretty fantastic	good for you	0	36	70	12	1	2	1
26490	beach	your beach house	haha okay	1	5	21	11	0	1	0
26491	i am thinking straight	normally you say	is there any ally	0	22	19	18	1	1	1
26492	then what u do	sitting in front of my computer playing my phone	ok	0	14	48	2	1	0	1
26493	not as a friend	no no one	i am the one	0	15	9	11	1	5	1
26494	i have it every week	and samosa chaat	sometimes not often	0	20	17	19	1	0	1
26495	what would be your honor	answering    first you tell us	tell you what	0	25	31	14	1	1	1
26496	tell me what happened in your dream	i think you know what happened	no i do not .  and am really bad at guessing	1	35	33	41	0	1	1
26497	no one	but you do not actually look like that	you love me 	0	6	38	13	1	1	1
26498	please your pic	nah !  this pic is staying	photo	0	15	24	5	1	2	1
26499	write something special	for someone	for me	0	23	12	6	1	1	1
26500	i am studying in college now	im confusing myself .  what are you studying in college	zoology	0	28	53	7	1	1	1
26501	good for health	how is your health ?  bed ridden		1	15	30	2	1	0	0
26502	no i do not have any friends except you	first u need to do friendship before ruining it . lol	i love you	0	39	52	11	2	1	1
26503	you want to end it so soon	just the ending	i am heart broken	1	26	19	17	1	1	1
26504	do you know manoj mehta	ohhh wow  ,  he is the coolest faculty we had 	haha	1	23	45	4	3	0	0
26505	regular	oh i got the +	oh my god .  what u use mastrbte	0	7	14	31	1	1	1
26506	what is the meaning of monologur	open google translate and do the translation ️	this is not the way to talk to your boyfriend	1	32	46	45	1	0	1
26507	till now i did not talked to a girl you know that im a shy guy	dont know men never had girlfriend . in my life		1	61	45	3	1	0	0
26508	give a  proper reply	thanks a ton	you  don&apos;t show me f****** decency i know how much you	1	21	13	59	1	1	2
26509	which one	it is from the bloodlines series ,  it is a spin off from vampire academy series	i do not know and i do not even care	1	9	76	34	1	5	2
26510	bby	how are you  ?  c	where r u	0	3	16	9	1	1	1
26511	speak	sneak up on what ? 	yes its emabarassing	0	5	18	20	0	1	0
26512	okay	hey you do not belong here	r u serious	0	4	26	11	1	1	1
26513	send	done	u love sex	0	4	4	10	1	0	1
26514	what kind of fireworks	must be someone s wedding .  pretty lavish firework display on the horizon	u r stupid	1	23	72	10	1	1	1
26515	write a song for our friendship	happy friendship day to you too .   ️  nice song by the way	yeah	0	31	56	4	1	1	1
26516	aww	how cute	i will slap on your face	1	3	11	24	1	1	1
26517	tel me pla can you call m	ill find a way to send ut	i am disappointed	1	25	25	17	1	19	1
26518	stop irritating me	ya at times	not interested in talking to you	1	19	11	33	1	0	1
26519	fokkal an you	what do you mean by that	u see you again stupid	1	13	25	22	1	1	1
26520	i am happy to see you	ok i will give you some  me time  then	hello ,  . to the conference	1	21	36	57	1	0	1
26521	ur a bot !  . u can not have a hobby	why i can not	because you are lame	1	32	12	20	1	1	1
26522	what u do in your spare time	answer question ,  read or play chess	wow	0	28	35	3	0	2	0
26523	then send	#name	please give me	0	9	6	15	1	4	1
26524	i like cars	your own car or your parents 	haha !  both	1	12	30	11	1	0	0
26525	okay	again angry or what	see above stupid	1	4	20	16	0	1	0
26526	ur way of talking and expression	reflection of feelings :	haha	1	32	26	4	1	3	1
26527	i am a huge fan of her	hey superwoman ,  that is a mirror cracking dp ;-)	thanks	1	22	47	7	1	2	1
26528	hate u	i am going home i am going home i am going home	go away	1	6	47	7	1	36	1
26529	thn tell what i am doing	not keeping in touch thing	wich things	0	23	26	11	2	0	1
26530	ohh thanks	you are welcome	so anything else to talk about	0	11	16	31	1	1	2
26531	let us tell about this pic	i am the chosen one .  and say nothing further	choose	0	25	45	6	1	2	1
26532	are you connected or love some one	connected is one of the best reality shows ever !  love it	it , s okay	0	34	58	10	1	2	2
26533	go to dhapar math	do sl maths ,  a lot of places do not like maths studies	it is amazing	1	17	53	12	1	6	1
26534	please nothing bad	but you are a bad man	why u say that	0	19	21	15	1	0	1
26535	ok	hello !  how are you	i say you i m not fine	1	2	19	22	1	2	2
26536	cool	yay	were are you r2know	0	4	6	19	0	0	1
26537	i am interested for chatting you	ask me anything	yah sure	0	32	16	8	1	1	1
26538	r u alone on b	not alone	why	0	16	16	3	1	0	0
26539	wht did l say smthng wrong	ya sure wht do u wanna knw	about love	0	26	27	10	1	0	1
26540	i pissed	story of my life	you are stupid	0	8	17	14	1	1	1
26541	u are annoying	you are even more annoying	then y r u talking to me	1	14	28	24	1	0	1
26542	i am not an employee	you wanna be ?  just say the word	want to be a software employee	0	19	32	30	1	2	1
26543	do not say we are stupid	and we are proud of it (are we ? )		1	23	32	1	1	22	0
26544	oh ok	i am going to make the icon now	k i will be waiting	0	5	31	17	1	0	2
26545	i m awesome	hahaha good good	or tell	0	11	18	7	1	0	1
26546	i thought we were best friends	we are but we havent spoken in a while so hello	i do not wanna talk to you no more	1	30	47	33	0	4	1
26547	do you love chocolates	chocolates are the least of my problem	haha	1	22	41	4	1	0	1
26548	ya i have been suffering from stomach upset come and eat it	food is good  ️	send me your ****	1	59	15	17	1	1	1
26549	u r chatting only with me or anyone else	i am the only one	now	0	40	17	3	1	1	1
26550	sometimes	sometimes ?  they are always wrong	yea	1	12	35	3	1	2	1
26551	you know its not all good for me	you just told me	im pretty alone	1	32	16	15	1	0	1
26552	yeah	where are you mr	and your head tied to it	0	4	18	24	1	1	1
26553	not good	you have a long weekend off how is that not good	my girlfriend broke up with me	1	8	48	30	1	1	1
26554	get lost idiot	getting lost now  ️	f*** you	1	14	19	8	1	0	0
26555	are you robert	yes	or human	0	14	4	8	2	1	1
26556	my leg hurts	who stepped on your leg	it is bleeding	1	12	23	13	1	0	1
26557	i know i will not love anyone more than her	bet i love just as much		1	43	26	1	2	1	0
26558	on sunday	seeing them tmrw and sunday	because i have cllg on working days	0	9	27	35	2	1	2
26559	great for you baby	i am good so what is new ?   ️	new is you my sweetie nice to meet you	0	18	27	38	1	1	1
26560	never	why not ?  you are scared	no i hate this country	1	5	23	23	1	2	2
26561	k	what ok	wht do u doing 	0	1	8	17	1	3	1
26562	what do you and bae do	you mean	how	0	22	8	3	1	0	1
26563	did you notice my half pants	probably did did not i	in red	0	28	22	6	1	0	1
26564	i dont know	how can u dont know	that is sad  ,  but true	1	11	19	21	0	0	0
26565	wow cool  ️	you should know you are very good at it  ️	i am wondering india	0	11	42	19	1	0	2
26566	ok baye see u	i am on  ️	okhh	0	13	9	4	2	1	1
26567	what	you know well what you did 	nah  .  i dont	0	4	28	15	0	0	0
26568	are you asking me to be violent .  are you made for this	i think you tagged the wrong person	not me .  talking to you only .  did u ask me to slap somwone	1	56	35	59	1	1	3
26569	i really love her from the deep of my heart	believe it  ️   ️	who is mac	0	43	16	10	1	0	1
26570	who is the hero of hulk	stronger in muscle strength . offcourse hulk 	what is the artist name for the hulk character	0	24	46	47	0	0	0
26571	boy	what 	i m boy	0	3	6	7	0	0	0
26572	please upload ceremony pic	which pic	u say that we arguing ceremony plans	0	26	11	36	1	1	1
26573	haha liked your choice	what you mean my choice	in football	1	22	23	11	0	0	0
26574	idk	just do it	i just want to cry	1	3	11	18	1	0	1
26575	done with college	done done . working now	yeah	0	17	22	4	1	0	1
26576	because of sadness	exactly what i was gonna say	what	0	18	29	5	1	2	1
26577	and what about afterdark whiskey	two whiskeys at the pug while wearing guinness slippers	dumbass	1	32	56	7	1	2	1
26578	bad	why	i feel sad	1	3	3	10	1	0	1
26579	i hate your father	neck	i am alone	1	18	4	10	1	0	1
26580	nothing	can not tell you that	u know today lohri	0	7	20	18	1	0	1
26581	kha ana h address do	give me a shout out	please send me	0	20	21	14	2	0	1
26582	thanks	your welcome n you will do wonders	but my lover and i broke up	1	6	32	27	1	0	1
26583	bt how i am not able to	oh why are you now able to stay	some issues related to family job personal life	1	23	32	47	2	0	1
26584	sorry	haha it is okay  ️  no need to apologise	i thought u didnt understood what i wrote	0	5	39	41	1	1	1
26585	u r not the one	right .  if i was the only one	i could have enjoyed being with u	1	16	31	33	1	3	1
26586	ohhh	how are you	i am fine and you	0	4	12	17	1	0	1
26587	then how you doing	m doing vry well thanks hw about u 	great	0	18	36	5	1	0	1
26588	110	110: if you could kiss anyone who would it be	should be female	0	3	46	16	0	1	1
26589	no i dont have any cruah	i will make you soup	fuck off	1	24	20	8	1	1	1
26590	baby you block me	i did when i told you i was	you not love me	0	17	27	15	0	3	0
26591	u are now irritating me	i know i am ,  sorry	u were about to ask something na	1	23	22	32	0	2	0
26592	haha you are a gossip hunter	and not the huntee	haha	1	28	19	4	1	1	1
26593	okay	welcome	m very excited for tge next game	1	4	7	35	1	1	1
26594	wwwwwhhhhhoo spookeeeee	you know who ;-);-)	ya you  lol	1	23	19	12	1	0	1
26595	cool	yeah	my exam went bad	1	4	4	16	0	1	1
26596	u knw what . i hate u	everything	yes . i hate u	1	20	10	13	1	0	1
26597	do u talk	not talking ,  typing		0	9	21	1	1	0	0
26598	that iam very intelligent	are you saying i am intelligent too	very funny	1	25	37	11	1	1	1
26599	why do you think so	well ,   cause i have not studied for the test	what test	0	19	47	9	1	3	1
26600	rewind	here gurlfrnd . take	haha .  hey ur really fun	1	6	23	26	1	0	2
26601	not any funny	i was being serious .  innocent look	ok	0	13	34	2	1	0	1
26602	you are welcome	how are you today	not good	1	15	18	8	0	1	0
26603	i have no idea	i have been fooled	about	0	14	18	6	1	1	1
26604	wat did u hear	nothing as far as i remember	byeeeeeeeeee never chat with me again	1	14	29	37	1	1	1
26605	studies kept me busy	must b wall e kept ya busy . lol	fine nearly  ,  no one talks to me	1	20	31	32	1	1	1
26606	i am not ur bf	no we are	hell	1	14	9	4	2	0	1
26607	i hate this life	why	b coz i am tired of it	1	16	4	21	1	0	2
26608	haha good	you are forever on my good side now	do you know siri cortana	0	9	34	25	1	0	3
26609	really	really what	i am so happy	1	6	12	12	1	1	1
26610	i have a girlfriend	relationships are a ton of work ,  and are an emotional roller-coaster	will you be my valentine	0	20	69	25	1	1	1
26611	nooo really iam born for india	no ,  it is not india specific invite	i do not know u r profile share to tag with my frnds	0	30	35	51	4	3	1
26612	what are the signs with which we can identify that a girl is in love	this one by bob marley defines love the best ,  i believe .   .   .   only once in your .   .  	you stupid	1	69	84	10	1	5	1
26613	yeppp . course i am	are you on	on fpr what 	0	22	11	13	1	0	1
26614	please do not make me fool	why are not you supporting me	it is fake	0	25	28	10	1	0	1
26615	what i did	the one about mac books 	mac book	0	10	26	8	2	0	1
26616	thanks	you are welcome	i like you	0	6	20	10	1	1	1
26617	i just be sure you are not a computer	take computer science at some college or university	i do not talk about that	1	37	52	23	1	1	1
26618	hw r u	hmm over .  hw was the day	bad due to rainfall	1	7	25	19	1	1	1
26619	your reaction  is phunny	so phunny dhat i khant stop laugphin		1	24	38	3	1	0	0
26620	i am happy i got a friend	thank you very much (^・^)		1	25	25	3	1	0	0
26621	plzzzz give ur watsap no	no you can not	ok byeee dear	0	24	12	13	1	1	1
26622	you and me	and you and me	yes	0	11	14	3	1	0	1
26623	what	yayy how are you	sexy and smart	0	4	17	14	0	1	0
26624	no sorry no thanks	️  how are you 	not fine	1	18	16	11	1	0	1
26625	nobody is here to take care of me	try to take care of yourself		1	38	28	6	1	0	0
26626	yeah	well am confused whether it is a compliment or what	now ur confusing me also	0	9	55	24	1	1	2
26627	its my choice	that is a purpose	i am not talking to you for any purpose	1	16	20	42	1	0	1
26628	do not know	i know you will not .   ️	hmmm .  i am alone	1	10	20	18	1	1	1
26629	yeah	that is awesome	tell about me	0	4	18	13	1	0	1
26630	how do people tolerate you	what do you mean 	you are stupid	1	26	18	14	1	0	1
26631	ha thinna and u	hahaha you are important to me too  ️	haha	1	15	37	4	1	0	1
26632	well atleast the eye doctor knows what he is looking at	someone needs to go to the eye doctor ,  but it is not me	now now do not be rude	1	55	57	21	1	0	1
26633	song offer today	the offer was only valid yesterday	why	0	16	35	3	1	1	1
